asset;date;time;open;high;low;close;business;volume
WDOFUT;27/12/2021;11:00:00;5665,00;5665,50;5658,50;5661,00;1055347810,00;18641
WDOFUT;27/12/2021;10:55:00;5665,00;5672,00;5664,00;5665,50;1853685010,00;32706
WDOFUT;27/12/2021;10:50:00;5675,50;5676,00;5660,50;5665,00;3384281700,00;59724
WDOFUT;27/12/2021;10:45:00;5685,00;5686,00;5675,50;5675,50;1581863375,00;27849
WDOFUT;27/12/2021;10:40:00;5685,50;5686,00;5682,00;5685,50;856384515,00;15066
WDOFUT;27/12/2021;10:35:00;5687,00;5694,00;5684,00;5685,50;2319036685,00;40762
WDOFUT;27/12/2021;10:30:00;5678,50;5688,00;5676,50;5687,00;1866100640,00;32839
WDOFUT;27/12/2021;10:25:00;5679,00;5682,50;5677,50;5678,50;1163141455,00;20477
WDOFUT;27/12/2021;10:20:00;5672,50;5681,50;5672,00;5678,50;1924054335,00;33890
WDOFUT;27/12/2021;10:15:00;5675,50;5680,00;5672,00;5672,00;1983161265,00;34944
WDOFUT;27/12/2021;10:10:00;5679,50;5683,00;5674,50;5675,50;1920138430,00;33812
WDOFUT;27/12/2021;10:05:00;5685,00;5687,50;5679,00;5680,00;2168751685,00;38161
WDOFUT;27/12/2021;10:00:00;5700,00;5701,00;5685,00;5685,00;2183371920,00;38354
WDOFUT;27/12/2021;09:55:00;5697,00;5704,00;5696,50;5699,50;1370629900,00;24041
WDOFUT;27/12/2021;09:50:00;5695,00;5704,50;5694,50;5697,00;2448784255,00;42966
WDOFUT;27/12/2021;09:45:00;5692,50;5697,00;5689,50;5695,50;1172568885,00;20596
WDOFUT;27/12/2021;09:40:00;5692,00;5694,00;5687,00;5692,50;1478634625,00;25983
WDOFUT;27/12/2021;09:35:00;5695,50;5697,50;5689,00;5691,50;1799336285,00;31607
WDOFUT;27/12/2021;09:30:00;5698,00;5699,50;5694,00;5695,50;1342828185,00;23572
WDOFUT;27/12/2021;09:25:00;5703,00;5706,50;5696,50;5698,00;2444468590,00;42884
WDOFUT;27/12/2021;09:20:00;5708,50;5709,50;5702,50;5703,00;1439385850,00;25229
WDOFUT;27/12/2021;09:15:00;5704,50;5711,00;5702,50;5708,00;1662043880,00;29121
WDOFUT;27/12/2021;09:10:00;5701,00;5708,50;5699,50;5704,50;2002789920,00;35112
WDOFUT;27/12/2021;09:05:00;5690,50;5701,50;5690,00;5700,50;2176359750,00;38209
WDOFUT;27/12/2021;09:00:00;5670,50;5690,50;5670,50;5690,50;1871311740,00;32942
WDOFUT;23/12/2021;18:25:00;5683,00;5685,00;5671,00;5671,00;279093280,00;4913
WDOFUT;23/12/2021;18:20:00;5687,00;5687,00;5682,50;5682,50;194069655,00;3414
WDOFUT;23/12/2021;18:15:00;5683,00;5687,00;5682,50;5686,50;235139970,00;4137
WDOFUT;23/12/2021;18:10:00;5683,50;5685,00;5681,50;5683,50;278365380,00;4898
WDOFUT;23/12/2021;18:05:00;5685,50;5685,50;5682,00;5683,00;303174790,00;5334
WDOFUT;23/12/2021;18:00:00;5686,00;5689,50;5682,50;5685,50;771197075,00;13563
WDOFUT;23/12/2021;17:55:00;5679,00;5686,50;5679,00;5685,50;631643750,00;11116
WDOFUT;23/12/2021;17:50:00;5679,00;5679,50;5678,00;5679,00;135266810,00;2382
WDOFUT;23/12/2021;17:45:00;5678,50;5680,00;5676,50;5678,50;280562065,00;4941
WDOFUT;23/12/2021;17:40:00;5679,50;5679,50;5675,50;5678,00;320796135,00;5650
WDOFUT;23/12/2021;17:35:00;5675,00;5679,50;5673,50;5679,00;364003345,00;6412
WDOFUT;23/12/2021;17:30:00;5677,50;5678,50;5674,50;5675,50;280731330,00;4946
WDOFUT;23/12/2021;17:25:00;5677,00;5678,50;5677,00;5677,50;147049050,00;2590
WDOFUT;23/12/2021;17:20:00;5678,50;5680,50;5676,50;5677,50;554465880,00;9764
WDOFUT;23/12/2021;17:15:00;5676,50;5679,50;5675,50;5678,00;460892665,00;8118
WDOFUT;23/12/2021;17:10:00;5674,00;5676,50;5673,50;5676,50;453517740,00;7991
WDOFUT;23/12/2021;17:05:00;5673,00;5675,00;5672,00;5674,00;428765750,00;7557
WDOFUT;23/12/2021;17:00:00;5670,00;5674,50;5669,00;5672,50;693960765,00;12236
WDOFUT;23/12/2021;16:55:00;5673,00;5673,50;5667,00;5670,50;681034335,00;12012
WDOFUT;23/12/2021;16:50:00;5672,00;5674,00;5669,50;5673,50;395548280,00;6974
WDOFUT;23/12/2021;16:45:00;5675,50;5676,50;5672,00;5672,00;350734305,00;6182
WDOFUT;23/12/2021;16:40:00;5675,00;5677,00;5675,00;5675,50;206372000,00;3636
WDOFUT;23/12/2021;16:35:00;5672,50;5678,00;5671,50;5675,00;804846315,00;14181
