asset;date;open;high;low;close;business;volume
WDOFUT;27/12/2021;5670,50;5711,00;5658,50;5661,00;4,533499525E10;797129
WDOFUT;23/12/2021;5665,00;5726,00;5635,50;5671,00;1,525942647E11;2683908
WDOFUT;22/12/2021;5744,50;5752,00;5655,00;5663,50;1,332239056E11;2331187
WDOFUT;21/12/2021;5734,50;5768,00;5722,00;5757,00;1,313357445E11;2284346
WDOFUT;20/12/2021;5724,50;5759,50;5702,00;5757,50;1,381250226E11;2411135
WDOFUT;17/12/2021;5701,50;5731,50;5676,50;5709,00;1,377887468E11;2415187
WDOFUT;16/12/2021;5688,00;5743,50;5677,50;5706,50;1,739634028E11;3049942
WDOFUT;15/12/2021;5700,50;5755,50;5679,50;5703,50;1,927073343E11;3365905
WDOFUT;14/12/2021;5686,50;5720,00;5640,00;5703,00;1,58368775E11;2788524
WDOFUT;13/12/2021;5629,00;5705,00;5624,50;5704,50;1,67420008E11;2954860
WDOFUT;10/12/2021;5585,00;5660,00;5584,00;5638,50;1,633117188E11;2905828
WDOFUT;09/12/2021;5564,00;5625,50;5545,00;5598,50;1,51158845E11;2705031
WDOFUT;08/12/2021;5634,00;5664,50;5554,00;5560,00;1,736986497E11;3099853
WDOFUT;07/12/2021;5697,00;5703,50;5638,50;5651,00;1,723858511E11;3040004
WDOFUT;06/12/2021;5676,00;5734,00;5667,00;5724,00;1,464504545E11;2562001
WDOFUT;03/12/2021;5685,00;5718,50;5633,00;5685,50;1,741057396E11;3063877
WDOFUT;02/12/2021;5700,50;5714,50;5648,00;5679,00;1,73304018E11;3052916
WDOFUT;01/12/2021;5620,00;5733,00;5612,50;5730,00;1,626795194E11;2870271
WDOFUT;30/11/2021;5637,00;5707,00;5615,00;5639,50;1,90451617E11;3365644
WDOFUT;29/11/2021;5635,48;5677,24;5616,36;5639,00;1,519302321E11;2708242
WDOFUT;26/11/2021;5703,91;5705,92;5610,82;5649,57;1,585494691E11;2829896
WDOFUT;25/11/2021;5626,92;5639,00;5587,68;5607,80;1,082836705E11;1941283
WDOFUT;24/11/2021;5618,37;5663,66;5595,22;5648,06;1,583544862E11;2827280
WDOFUT;23/11/2021;5650,57;5705,42;5607,80;5611,83;1,765019084E11;3131191
WDOFUT;22/11/2021;5647,05;5658,62;5607,30;5628,43;1,619975209E11;2894127
WDOFUT;19/11/2021;5624,41;5660,13;5566,04;5659,63;1,674233075E11;3003269
WDOFUT;18/11/2021;5572,08;5625,41;5571,58;5607,30;1,470250497E11;2642746
WDOFUT;17/11/2021;5534,84;5584,66;5513,71;5576,61;1,459455166E11;2645990
WDOFUT;16/11/2021;5495,09;5559,00;5478,99;5552,96;1,679324606E11;3059497
WDOFUT;12/11/2021;5454,34;5519,75;5444,78;5511,70;1,59586715E11;2930658
WDOFUT;11/11/2021;5536,86;5539,37;5440,25;5447,80;1,568331061E11;2884489
WDOFUT;10/11/2021;5559,00;5565,03;5488,55;5545,41;1,961715008E11;3571239
WDOFUT;09/11/2021;5605,79;5606,80;5510,69;5534,34;1,704699192E11;3089359
WDOFUT;08/11/2021;5616,86;5656,61;5594,22;5605,79;1,390134491E11;2488834
WDOFUT;05/11/2021;5659,63;5668,69;5562,52;5600,76;1,637671381E11;2939719
WDOFUT;04/11/2021;5631,96;5690,32;5625,41;5666,67;1,754682442E11;3118253
WDOFUT;03/11/2021;5739,13;5764,29;5608,81;5617,87;2,117365913E11;3733071
WDOFUT;01/11/2021;5694,35;5755,23;5688,31;5750,70;1,302086393E11;2286122
WDOFUT;29/10/2021;5705,92;5731,58;5664,66;5700,89;1,94843502E11;3435992
WDOFUT;28/10/2021;5625,36;5736,23;5621,31;5716,99;2,136233461E11;3805627
WDOFUT;27/10/2021;5642,57;5665,86;5608,66;5609,67;1,967929348E11;3534623
WDOFUT;26/10/2021;5627,39;5681,55;5621,82;5640,55;1,776589543E11;3184567
WDOFUT;25/10/2021;5731,67;5737,75;5612,20;5632,45;1,916858814E11;3425757
WDOFUT;22/10/2021;5761,03;5833,93;5699,27;5728,13;2,543961666E11;4459868
WDOFUT;21/10/2021;5742,30;5770,15;5699,78;5737,75;2,171375447E11;3835940
WDOFUT;20/10/2021;5661,81;5681,55;5598,53;5676,49;2,025695262E11;3637899
WDOFUT;19/10/2021;5624,35;5693,20;5615,74;5665,35;2,390602392E11;4286278
WDOFUT;18/10/2021;5548,41;5623,84;5544,87;5592,96;1,807154046E11;3268948
WDOFUT;15/10/2021;5569,67;5588,91;5515,00;5543,35;1,873542929E11;3420597
WDOFUT;14/10/2021;5555,50;5614,22;5548,92;5596,51;1,747275985E11;3167577
WDOFUT;13/10/2021;5601,57;5658,77;5583,34;5599,54;2,14024032E11;3854733
WDOFUT;11/10/2021;5585,87;5630,93;5577,77;5623,84;1,126516993E11;2035540
WDOFUT;08/10/2021;5587,90;5618,78;5562,59;5598,53;1,757420466E11;3179471
WDOFUT;07/10/2021;5560,06;5616,76;5556,01;5607,64;1,810816548E11;3277311
WDOFUT;06/10/2021;5604,10;5627,39;5564,61;5581,32;1,98345364E11;3588419
WDOFUT;05/10/2021;5518,04;5579,29;5514,49;5569,67;1,638409321E11;2989551
WDOFUT;04/10/2021;5476,02;5550,44;5462,86;5549,42;1,520123342E11;2791725
WDOFUT;01/10/2021;5510,44;5524,11;5443,11;5454,25;1,703267175E11;3148418
WDOFUT;30/09/2021;5499,31;5568,66;5459,82;5535,76;2,224889649E11;4076780
WDOFUT;29/09/2021;5501,83;5539,45;5481,49;5504,37;1,798895334E11;3315710
WDOFUT;28/09/2021;5500,30;5546,57;5482,50;5523,18;1,939446794E11;3576648
WDOFUT;27/09/2021;5416,40;5490,64;5401,66;5487,08;1,8155501E11;3390161
WDOFUT;24/09/2021;5410,30;5450,98;5410,30;5433,69;1,31372319E11;2457778
WDOFUT;23/09/2021;5357,42;5408,77;5352,33;5401,66;1,477327723E11;2788657
WDOFUT;22/09/2021;5351,31;5417,42;5346,74;5388,43;1,644538021E11;3109224
WDOFUT;21/09/2021;5410,81;5436,74;5360,98;5367,08;1,700514967E11;3202373
WDOFUT;20/09/2021;5421,49;5478,95;5406,23;5426,57;1,809620393E11;3385159
WDOFUT;17/09/2021;5355,89;5448,94;5350,81;5387,42;1,938142687E11;3647560
WDOFUT;16/09/2021;5339,11;5381,82;5332,50;5354,37;1,470602668E11;2789691
WDOFUT;15/09/2021;5344,20;5374,20;5315,72;5330,47;1,733248424E11;3291415
WDOFUT;14/09/2021;5339,11;5367,59;5300,97;5352,33;1,652686075E11;3150910
WDOFUT;13/09/2021;5342,16;5346,23;5304,53;5322,33;1,598337865E11;3051998
WDOFUT;10/09/2021;5266,91;5376,74;5261,82;5357,42;1,763458239E11;3365200
WDOFUT;09/09/2021;5412,33;5442,33;5298,94;5315,21;2,416410194E11;4558324
WDOFUT;08/09/2021;5299,96;5442,33;5298,94;5425,55;2,152382776E11;4073282
WDOFUT;06/09/2021;5295,89;5319,28;5260,80;5277,08;8,869019484E10;1705676
WDOFUT;03/09/2021;5280,64;5308,60;5237,41;5305,55;1,676312976E11;3228992
WDOFUT;02/09/2021;5282,16;5308,60;5249,11;5290,30;1,876880622E11;3613807
WDOFUT;01/09/2021;5264,87;5307,58;5250,13;5295,89;1,678667048E11;3238019
WDOFUT;31/08/2021;5295,38;5308,60;5225,21;5259,79;1,71744026E11;3317015
WDOFUT;30/08/2021;5312,23;5340,32;5292,82;5296,91;1,440539584E11;2770032
WDOFUT;27/08/2021;5371,99;5377,10;5300,99;5318,36;1,677587544E11;3212529
