datetime,open,high,low,close,business,volume
2016.09.30,3864.892,3886.147,3847.77,3881.424,169766,446807
2016.10.03,3860.759,3869.615,3807.031,3822.972,163042,411755
2016.10.04,3825.924,3881.424,3815.297,3881.424,212018,587389
2016.10.05,3862.53,3868.435,3827.696,3830.648,151820,387689
2016.10.06,3835.961,3856.036,3827.105,3835.961,163125,395197
2016.10.07,3846.589,3850.722,3792.27,3822.972,214813,551894
2016.10.10,3818.249,3827.696,3798.765,3810.573,128456,303155
2016.10.11,3808.212,3830.648,3791.09,3791.09,208309,505622
2016.10.13,3808.212,3819.43,3769.244,3771.015,184601,441849
2016.10.14,3766.292,3804.669,3754.483,3796.994,208404,504576
2016.10.17,3792.861,3812.935,3780.462,3794.042,140013,325595
2016.10.18,3783.414,3784.595,3760.978,3773.377,143262,353726
2016.10.19,3772.787,3786.957,3747.398,3750.351,162775,412977
2016.10.20,3759.797,3759.797,3711.383,3722.01,180941,457955
2016.10.21,3723.782,3750.941,3721.42,3728.505,146700,370717
2016.10.24,3722.01,3728.505,3685.404,3693.08,148665,374307
2016.10.25,3693.67,3710.202,3669.463,3687.176,189069,491591
2016.10.26,3696.032,3727.915,3683.043,3710.202,187290,485930
2016.10.27,3713.744,3753.893,3696.622,3750.351,178181,461455
2016.10.28,3739.723,3788.728,3732.638,3788.137,233471,595481
2016.10.31,3781.114,3781.699,3735.459,3765.31,163104,397214
2016.11.01,3760.042,3841.986,3753.019,3824.427,213366,529987
2016.11.03,3827.353,3834.377,3801.014,3820.915,206325,521150
2016.11.04,3836.718,3850.18,3795.161,3815.062,224629,548741
2016.11.07,3779.358,3792.235,3759.457,3773.505,133624,333650
2016.11.08,3776.431,3789.308,3726.68,3733.118,182659,474853
2016.11.09,3819.744,3825.597,3765.31,3786.967,258692,673088
2016.11.10,3781.114,3997.679,3778.187,3993.582,394705,987884
2016.11.11,3998.85,4131.13,3968.999,3992.997,409061,707763
2016.11.14,4049.772,4087.817,4026.945,4040.407,294277,506202
2016.11.16,3997.679,4051.528,3992.997,4024.018,227132,459637
2016.11.17,4001.776,4032.798,3981.876,4023.433,239962,578177
2016.11.18,4041.577,4044.504,3961.975,3975.437,222704,556334
2016.11.21,3969.584,3973.096,3923.93,3937.392,175439,402901
2016.11.22,3921.003,3949.098,3907.541,3940.318,189983,454281
2016.11.23,3944.416,4011.141,3932.709,3974.267,223663,536155
2016.11.24,3974.267,4000.02,3966.658,3982.461,113657,273484
2016.11.25,4015.238,4066.746,3990.655,3997.679,204890,476642
2016.11.28,3976.022,4000.606,3962.56,3968.413,173501,416187
2016.11.29,3971.925,3997.679,3959.048,3981.876,160139,372492
2016.11.30,3985.939,3992.324,3955.755,3961.56,189807,462469
2016.12.01,3973.169,4073.586,3961.56,4060.817,248779,613745
2016.12.02,4060.817,4089.259,4034.116,4071.265,222395,509892
2016.12.05,4068.943,4074.167,3998.709,4003.352,156693,360656
2016.12.06,4037.018,4056.173,3973.749,3988.261,211001,518100
2016.12.07,3962.721,3998.128,3949.37,3955.755,191944,450537
