datetime,open,high,low,close,business,volume
2017.01.02 09:00,3814.12600,3825.73500,3810.06300,3818.77000,2892,7912
2017.01.02 09:15,3818.77000,3823.41300,3813.54600,3822.83300,4045,9237
2017.01.02 09:30,3822.83300,3830.37900,3821.09100,3827.47600,4027,9468
2017.01.02 09:45,3827.47600,3830.95900,3823.99400,3829.79800,2264,5500
2017.01.02 10:00,3829.21800,3833.86100,3824.57400,3829.79800,4040,9007
2017.01.02 10:15,3829.79800,3837.34400,3827.47600,3835.02200,3520,7882
2017.01.02 10:30,3834.44200,3839.08500,3834.44200,3837.34400,2995,6864
2017.01.02 10:45,3837.34400,3837.92400,3832.12000,3833.86100,1703,3430
2017.01.02 11:00,3835.02200,3837.34400,3832.12000,3832.70000,2135,5238
2017.01.02 11:15,3832.70000,3833.28100,3825.73500,3830.37900,3504,8723
2017.01.02 11:30,3830.37900,3835.60300,3830.37900,3835.02200,1924,4533
2017.01.02 11:45,3835.02200,3838.50500,3831.53900,3831.53900,2370,5421
2017.01.02 12:00,3831.53900,3836.18300,3831.53900,3834.44200,1726,3567
2017.01.02 12:15,3834.44200,3836.76400,3834.44200,3835.60300,786,1752
2017.01.02 12:30,3835.60300,3835.60300,3832.70000,3833.28100,858,2206
2017.01.02 12:45,3832.70000,3834.44200,3828.63700,3829.79800,1707,4246
2017.01.02 13:00,3829.21800,3832.70000,3828.63700,3832.12000,1149,2695
2017.01.02 13:15,3832.70000,3833.86100,3832.12000,3833.28100,840,2113
2017.01.02 13:30,3833.28100,3835.02200,3832.70000,3833.86100,694,1527
2017.01.02 13:45,3833.28100,3833.28100,3830.37900,3832.12000,703,2004
2017.01.02 14:00,3831.53900,3833.86100,3831.53900,3832.70000,757,1829
2017.01.02 14:15,3832.70000,3833.86100,3832.12000,3832.70000,555,1407
2017.01.02 14:30,3832.70000,3834.44200,3830.37900,3833.86100,760,2324
2017.01.02 14:45,3834.44200,3838.50500,3833.86100,3836.76400,1212,3443
2017.01.02 15:00,3836.76400,3837.34400,3830.95900,3832.70000,1468,4365
2017.01.02 15:15,3832.70000,3834.44200,3829.21800,3830.95900,1274,4059
2017.01.02 15:30,3830.95900,3836.76400,3830.95900,3836.18300,966,3015
2017.01.02 15:45,3836.76400,3844.30900,3836.18300,3843.14800,2812,8350
2017.01.02 16:00,3843.14800,3847.21200,3840.24600,3846.05100,1775,4789
2017.01.02 16:15,3846.63100,3849.53300,3844.89000,3846.05100,1873,5716
2017.01.02 16:30,3846.63100,3847.21200,3841.40700,3842.56800,1056,3106
2017.01.02 16:45,3841.98800,3843.14800,3838.50500,3841.98800,1189,3744
2017.01.02 17:00,3841.98800,3842.56800,3838.50500,3841.40700,825,2466
2017.01.02 17:15,3841.40700,3843.14800,3840.82700,3841.98800,399,1688
2017.01.02 17:30,3841.98800,3843.72900,3840.82700,3841.40700,519,1561
2017.01.02 17:45,3841.40700,3848.37200,3840.24600,3847.21200,782,3022
2017.01.02 18:00,3846.63100,3850.11400,3843.72900,3848.37200,791,4104
2017.01.03 09:00,3845.47000,3852.43600,3837.92400,3847.79200,7946,21168
2017.01.03 09:15,3847.79200,3848.95300,3838.50500,3843.14800,5202,12625
2017.01.03 09:30,3842.56800,3843.72900,3827.47600,3830.37900,7581,18778
2017.01.03 09:45,3830.37900,3832.12000,3821.67200,3825.73500,6286,16032
2017.01.03 10:00,3825.15500,3827.47600,3823.41300,3823.99400,2415,5614
2017.01.03 10:15,3824.57400,3829.21800,3823.99400,3828.05700,2884,7653
2017.01.03 10:30,3827.47600,3828.63700,3819.35000,3823.99400,5547,13650
2017.01.03 10:45,3823.41300,3824.57400,3817.02800,3820.51100,3886,10337
2017.01.03 11:00,3821.09100,3826.31500,3820.51100,3822.83300,3554,8760
