asset;date;time;open;high;low;close;business;volume
WDOFUT;07/01/2022;18:25:00;5663,50;5666,00;5662,00;5666,00;326989655,00;5773
WDOFUT;07/01/2022;18:20:00;5663,00;5664,00;5660,00;5664,00;304523090,00;5378
WDOFUT;07/01/2022;18:15:00;5662,50;5665,00;5659,50;5662,50;520739670,00;9197
WDOFUT;07/01/2022;18:10:00;5664,00;5665,00;5662,00;5662,50;341766855,00;6034
WDOFUT;07/01/2022;18:05:00;5663,50;5665,50;5663,00;5664,50;196772860,00;3474
WDOFUT;07/01/2022;18:00:00;5663,50;5666,00;5663,00;5663,50;238135375,00;4204
WDOFUT;07/01/2022;17:55:00;5665,50;5666,00;5662,00;5664,00;561369000,00;9911
WDOFUT;07/01/2022;17:50:00;5663,00;5665,50;5662,00;5665,00;343702940,00;6068
WDOFUT;07/01/2022;17:45:00;5665,50;5666,00;5662,00;5663,00;325979045,00;5756
WDOFUT;07/01/2022;17:40:00;5666,50;5667,00;5664,50;5665,50;226288920,00;3994
WDOFUT;07/01/2022;17:35:00;5666,50;5667,50;5664,00;5667,00;380377700,00;6714
WDOFUT;07/01/2022;17:30:00;5664,50;5668,00;5663,00;5666,50;479615220,00;8466
WDOFUT;07/01/2022;17:25:00;5663,50;5666,00;5663,00;5664,50;331499300,00;5852
WDOFUT;07/01/2022;17:20:00;5663,00;5664,50;5662,00;5663,00;275517845,00;4865
WDOFUT;07/01/2022;17:15:00;5663,00;5663,50;5660,50;5662,50;299179785,00;5284
WDOFUT;07/01/2022;17:10:00;5663,50;5664,50;5662,50;5662,50;197942955,00;3495
WDOFUT;07/01/2022;17:05:00;5663,50;5664,00;5661,50;5663,00;403214730,00;7120
WDOFUT;07/01/2022;17:00:00;5662,00;5664,00;5660,00;5664,00;328844220,00;5808
WDOFUT;07/01/2022;16:55:00;5661,00;5662,00;5660,00;5662,00;224169900,00;3960
WDOFUT;07/01/2022;16:50:00;5660,00;5663,50;5660,00;5661,00;433809310,00;7662
WDOFUT;07/01/2022;16:45:00;5660,00;5661,00;5658,50;5660,00;454867780,00;8037
WDOFUT;07/01/2022;16:40:00;5661,00;5662,50;5659,00;5659,50;356645875,00;6300
WDOFUT;07/01/2022;16:35:00;5662,00;5663,50;5659,50;5661,50;501956775,00;8866
WDOFUT;07/01/2022;16:30:00;5663,50;5664,50;5661,00;5662,00;325188475,00;5743
WDOFUT;07/01/2022;16:25:00;5665,00;5665,00;5662,00;5663,00;391127420,00;6906
WDOFUT;07/01/2022;16:20:00;5666,50;5667,50;5664,00;5665,00;418824525,00;7392
WDOFUT;07/01/2022;16:15:00;5661,00;5667,50;5660,50;5666,00;1002537375,00;17699
WDOFUT;07/01/2022;16:10:00;5657,50;5661,50;5656,50;5661,00;581639360,00;10277
WDOFUT;07/01/2022;16:05:00;5660,00;5660,50;5654,50;5657,50;1100818980,00;19459
WDOFUT;07/01/2022;16:00:00;5659,50;5661,00;5659,00;5660,00;359526110,00;6352
WDOFUT;07/01/2022;15:55:00;5666,00;5666,50;5659,00;5660,00;955707605,00;16878
WDOFUT;07/01/2022;15:50:00;5662,00;5666,00;5660,50;5666,00;695840630,00;12286
WDOFUT;07/01/2022;15:45:00;5663,00;5663,50;5659,50;5662,00;550981185,00;9732
WDOFUT;07/01/2022;15:40:00;5660,50;5665,00;5657,00;5663,50;910288785,00;16081
WDOFUT;07/01/2022;15:35:00;5662,00;5662,00;5659,00;5660,00;840065155,00;14841
WDOFUT;07/01/2022;15:30:00;5669,00;5669,50;5661,00;5661,50;1197224505,00;21139
WDOFUT;07/01/2022;15:25:00;5666,50;5669,50;5666,00;5669,50;517842155,00;9136
WDOFUT;07/01/2022;15:20:00;5662,50;5668,50;5662,00;5667,00;919295165,00;16224
WDOFUT;07/01/2022;15:15:00;5661,50;5664,50;5660,50;5662,50;597696835,00;10555
WDOFUT;07/01/2022;15:10:00;5660,00;5664,00;5659,50;5662,00;705434915,00;12459
WDOFUT;07/01/2022;15:05:00;5658,00;5660,00;5655,00;5660,00;690102405,00;12198
WDOFUT;07/01/2022;15:00:00;5660,50;5662,50;5655,50;5657,50;806458975,00;14253
WDOFUT;07/01/2022;14:55:00;5660,50;5663,00;5658,00;5661,00;485951890,00;8585
WDOFUT;07/01/2022;14:50:00;5663,00;5664,50;5659,00;5661,00;773872105,00;13669
WDOFUT;07/01/2022;14:45:00;5662,00;5663,00;5656,50;5662,50;1037952145,00;18339
WDOFUT;07/01/2022;14:40:00;5663,50;5664,50;5660,00;5662,00;712287725,00;12581
WDOFUT;07/01/2022;14:35:00;5663,50;5666,00;5662,50;5664,00;595806605,00;10519
WDOFUT;07/01/2022;14:30:00;5660,50;5666,00;5659,00;5663,50;814731775,00;14386
WDOFUT;07/01/2022;14:25:00;5660,00;5666,50;5659,00;5660,50;1527457860,00;26976
WDOFUT;07/01/2022;14:20:00;5662,00;5664,00;5657,00;5659,50;915560490,00;16174
WDOFUT;07/01/2022;14:15:00;5661,00;5663,50;5658,50;5662,00;1139696110,00;20132
WDOFUT;07/01/2022;14:10:00;5659,00;5661,00;5658,00;5660,50;583742220,00;10315
WDOFUT;07/01/2022;14:05:00;5658,00;5661,00;5654,00;5659,00;1384249090,00;24468
WDOFUT;07/01/2022;14:00:00;5657,00;5659,50;5648,50;5658,00;3147908055,00;55684
WDOFUT;07/01/2022;13:55:00;5659,00;5661,50;5655,50;5657,00;958067170,00;16932
WDOFUT;07/01/2022;13:50:00;5660,50;5661,00;5655,50;5658,50;1627164105,00;28756
WDOFUT;07/01/2022;13:45:00;5661,50;5665,00;5659,00;5660,50;1546302175,00;27313
WDOFUT;07/01/2022;13:40:00;5666,00;5668,00;5660,00;5661,50;1876222300,00;33132
WDOFUT;07/01/2022;13:35:00;5669,00;5669,50;5664,00;5666,50;1263653445,00;22300
WDOFUT;07/01/2022;13:30:00;5677,00;5677,50;5666,00;5668,50;2471730940,00;43587
WDOFUT;07/01/2022;13:25:00;5677,50;5680,00;5675,50;5677,00;436123050,00;7681
WDOFUT;07/01/2022;13:20:00;5675,00;5682,00;5674,50;5678,00;1141652470,00;20104
WDOFUT;07/01/2022;13:15:00;5678,50;5680,00;5674,00;5675,00;1355426705,00;23877
