asset;date;open;high;low;close;business;volume
WDOFUT;07/01/2022;5711,50;5740,00;5648,50;5666,00;1,421758856E11;2497224
WDOFUT;06/01/2022;5727,00;5757,00;5701,50;5715,50;1,427681347E11;2490180
WDOFUT;05/01/2022;5715,00;5757,00;5675,50;5727,00;1,58969501E11;2783513
WDOFUT;04/01/2022;5704,50;5746,50;5672,50;5712,50;1,534468529E11;2684272
WDOFUT;03/01/2022;5609,50;5729,00;5595,00;5727,00;1,333655415E11;2352883
WDOFUT;30/12/2021;5735,00;5742,50;5586,50;5611,00;1,373604567E11;2436935
WDOFUT;29/12/2021;5677,55;5751,56;5663,46;5742,50;1,058973362E11;1868152
WDOFUT;28/12/2021;5660,94;5703,73;5658,93;5670,00;1,121547663E11;1987959
WDOFUT;27/12/2021;5709,77;5750,56;5665,47;5666,98;1,080182295E11;1906378
WDOFUT;23/12/2021;5704,24;5765,66;5674,53;5710,28;1,525942647E11;2683908
WDOFUT;22/12/2021;5784,29;5791,84;5694,17;5702,73;1,332239056E11;2331187
WDOFUT;21/12/2021;5774,22;5807,95;5761,63;5796,87;1,313357445E11;2284346
WDOFUT;20/12/2021;5764,15;5799,39;5741,49;5797,38;1,381250226E11;2411135
WDOFUT;17/12/2021;5740,99;5771,20;5715,82;5748,54;1,377887468E11;2415187
WDOFUT;16/12/2021;5727,40;5783,28;5716,82;5746,02;1,739634028E11;3049942
WDOFUT;15/12/2021;5739,98;5795,36;5718,84;5743,00;1,927073343E11;3365905
WDOFUT;14/12/2021;5725,89;5759,62;5679,06;5742,50;1,58368775E11;2788524
WDOFUT;13/12/2021;5667,99;5744,51;5663,46;5744,01;1,67420008E11;2954860
WDOFUT;10/12/2021;5623,68;5699,20;5622,68;5677,55;1,633117188E11;2905828
WDOFUT;09/12/2021;5602,54;5664,46;5583,41;5637,28;1,51158845E11;2705031
WDOFUT;08/12/2021;5673,02;5703,73;5592,47;5598,51;1,736986497E11;3099853
